,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Swang,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,208120,2016
223's (feat. 9lokknine),0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,2019
EARFQUAKE,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,190067,2019
Sanguine Paradise,0.729,0.603,6,-6.736,0,0.0666,0.0948,0.0,0.113,0.207,134.972,243976,2019
Chucky Cheese,0.89,0.542,10,-4.826,0,0.314,0.523,0.0,0.123,0.565,78.458,165293,2018
HIGHEST IN THE ROOM,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,2019
Mixed Personalities (feat. Kanye West),0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,230400,2019
That's a Rack,0.852,0.432,1,-8.04,0,0.501,0.0599,0.0,0.146,0.258,140.042,236571,2019
No Type,0.891,0.486,6,-7.803,1,0.159,0.0158,3.78e-06,0.0925,0.239,125.01,200080,2015
goosebumps,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,2016
Shotta Flow (Feat. Blueface) [Remix],0.894,0.511,2,-4.768,1,0.42,0.0251,0.0,0.14,0.568,120.08,176632,2019
Money Longer,0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,198944,2016
I,0.608,0.862,6,-4.213,0,0.273,0.307,0.0,0.419,0.613,174.091,130347,2019
Envy Me,0.839,0.679,8,-6.737,1,0.0933,0.0889,0.0,0.285,0.259,116.989,270007,2015
Ransom (with Juice WRLD) - Remix,0.683,0.667,2,-6.436,0,0.276,0.0105,0.0,0.076,0.373,180.005,171227,2019
Hot (feat. Gunna),0.855,0.651,0,-8.044,0,0.235,0.063,0.0,0.0772,0.559,111.997,193027,2019
Suge,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,2019
Murder On My Mind,0.759,0.73,0,-7.985,0,0.0516,0.145,3.06e-06,0.11,0.74,115.007,268434,2018
No Security,0.859,0.625,1,-5.437,1,0.0914,0.00538,0.000124,0.184,0.636,149.948,219737,2017
Lust,0.718,0.767,9,-5.641,1,0.166,0.138,0.0,0.114,0.519,160.084,156000,2017
Magic,0.647,0.706,6,-6.023,0,0.137,0.264,0.0,0.114,0.577,153.973,182338,2019
Nowadays (feat. Landon Cube),0.745,0.646,6,-6.987,0,0.17,0.157,0.0,0.338,0.46,79.993,203908,2017
Red Roses (feat. Landon Cube),0.599,0.818,9,-4.215,0,0.0881,0.717,1.41e-05,0.228,0.475,140.009,262062,2017
SICKO MODE,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,2018
BUTTERFLY EFFECT,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,190557,2018
XO Tour Llif3,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,2017
20 Min,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,2017
Noticed,0.699,0.558,11,-7.622,1,0.0603,0.462,0.0,0.116,0.493,79.992,165000,2018
Bandit (with YoungBoy Never Broke Again),0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,2019
Pop Out (feat. Lil Tjay),0.861,0.621,1,-7.106,1,0.362,0.121,0.0,0.0689,0.254,83.976,166640,2019
Goin Baby,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,141827,2019
Did It Again,0.686,0.561,10,-9.929,0,0.191,0.185,0.0,0.114,0.186,148.775,116240,2019
Daddy (feat. Rich The Kid),0.864,0.598,11,-8.076,1,0.238,0.0673,0.0,0.154,0.464,107.93,151547,2019
MIDDLE CHILD,0.84,0.484,8,-6.899,1,0.241,0.192,0.0,0.282,0.512,126.023,213000,2019
Camelot,0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,148759,2020
Robbery,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,2019
Baby (Lil Baby feat. DaBaby),0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003,142417,2019
Brothers (feat. Lil Durk) - Remix,0.688,0.489,2,-7.627,0,0.173,0.619,0.0,0.153,0.559,85.404,210120,2019
Panini,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,2019
molly,0.695,0.566,6,-7.484,0,0.124,0.00202,0.0,0.167,0.388,80.029,175569,2019
VALENTINO,0.744,0.718,9,-4.853,0,0.181,0.197,0.0,0.134,0.549,151.098,179133,2019
Ransom,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131248,2019
Feeling,0.712,0.515,10,-6.004,0,0.0857,0.234,0.0,0.205,0.563,160.0,201920,2019
Kamikaze,0.792,0.571,8,-7.539,0,0.094,0.301,0.0,0.1,0.556,99.999,139200,2018
1400 / 999 Freestyle,0.825,0.572,6,-6.067,0,0.0864,0.0079,0.0,0.113,0.568,141.991,175954,2018
Bussdown (feat. Offset),0.905,0.659,1,-4.785,1,0.433,0.0583,0.0,0.0775,0.87,121.103,183760,2019
Going Off,0.795,0.726,1,-5.95,1,0.077,0.171,0.0,0.12,0.335,84.509,173254,2019
Armed And Dangerous,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,169999,2018
HUMBLE.,0.905,0.596,1,-7.496,0,0.118,0.000339,2.05e-05,0.0897,0.422,149.996,177604,2017
DNA.,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,2017
